"first_name","last_name","id","age","study_hours","specialization","GPA","date_added","gender"
"Ahmed","Ben Ali","12345678","25","7","Marketing","3.4","04/06/2022","M"
"Fatima","Bouazizi","23456789","24","5","Business Analytics","3.39","02/06/2022","F"
"Omar","Ghannouchi","34567890","25","1","Accounting","3.38","18/06/2022","M"
"Aisha","Trabelsi","45678901","21","5","Accounting","3.37","29/06/2022","F"
"Ali","Cherif","56789012","24","4","Business Analytics","3.36","24/06/2022","M"
"Layla","Sassi","67890123","25","2","Information Technology","3.35","18/06/2022","F"
"Hassan","Khemiri","78901234","21","8","Business Analytics","3.34","27/06/2022","M"
"Zahra","Ben Amor","89012345","22","6","Accounting","3.33","27/06/2022","F"
"Yusuf","Gharbi","90123456","24","7","Finance","3.32","10/06/2022","M"
"Nour","Haddad","10234567","23","null","Accounting","3.31","09/06/2022","F"
"Malik","Ben Youssef","21345678","23","5","Business Analytics","3.3","13/06/2022","M"
"Amina","Ben Slimane","32456789","21","2","Marketing","3.29","15/06/2022","F"
"Amir","Mabrouk","43567890","23","6","Information Technology","3.28","18/06/2022","M"
"Leila","Hachicha","54678901","22","7","Accounting","3.27","16/06/2022","F"
"Bilal","Ben Salah","65789012","24","5","Marketing","3.26","03/06/2022","M"
"Hana","Nasri","76890123","24","7","Information Technology","3.25","29/06/2022","F"
"Tariq","Mejri","87901234","23","5","Accounting","3.24","01/06/2022","M"
"Noor","Ben Mahmoud","89012346","24","3","Information Technology","3.23","26/06/2022","F"
"Kareem","Jemai","90123457","23","7","Accounting","3.22","24/06/2022","M"
"Rania","Ben Cheikh","12345679","22","2","Accounting","3.21","26/06/2022","F"
"Samir","Hajji","23456780","22","8","Marketing","3.2","08/06/2022","M"
"Aaliyah","Ben Abdallah","34567891","23","5","Business Analytics","3.19","11/06/2022","F"
"Raheel","Chakroun","45678902","25","7","Accounting","3.18","19/06/2022","M"
"Ayesha","Ghazouani","56789013","22","4","Accounting","3.17","05/06/2022","F"
"Idris","Gabsi","67890124","22","null","Business Analytics","3.16","10/06/2022","M"
"Samira","Ben Hassen","78901235","22","5","Information Technology","3.15","09/06/2022","F"
"Nizar","Rekik","89012347","22","null","Marketing","3.14","04/06/2022","M"
"Sana","Khelifi","90123458","25","4","Business Analytics","3.13","29/06/2022","F"
"Farid","Ben Brahim","10234568","21","3","Accounting","3.12","28/06/2022","M"
"Amira","Dridi","21345679","25","null","Business Analytics","3.11","16/06/2022","F"
"Kareema","Ben Mansour","32456780","22","1","Accounting","3.1","25/06/2022","M"
"Zayd","Ben Othman","43567892","24","8","Business Analytics","3.09","06/06/2022","F"
"Safa","Ben Miled","54678903","25","2","Information Technology","3.08","11/06/2022","M"
"Zainab","Khiari","65789014","21","5","Information Technology","3.07","24/06/2022","F"
"Hamza","Ben Romdhane","76890125","25","1","Marketing","3.06","26/06/2022","M"
"Yasmin","Ben Jemaa","87901236","23","1","Business Analytics","3.05","02/06/2022","F"
"Talal","Ben Arfa","89012348","23","2","Information Technology","3.04","28/06/2022","M"
"Shireen","Boujemaa","90123459","25","null","Marketing","3.03","23/06/2022","F"
"Khalid","Ben Hamouda","10234569","22","5","Information Technology","3.02","19/06/2022","M"
"Layth","Ben Salah","21345680","21","6","Finance","3.01","09/06/2022","F"
"Nadia","Ben Lamine","32456791","22","4","Accounting","3.0","17/06/2022","M"
"Tarek","Ben Aliya","43567803","23","8","Accounting","2.99","09/06/2022","F"
"Salma","Ben Choug","54678914","22","1","Finance","2.98","23/06/2022","M"
"Imran","Kechrid","65789025","22","null","Business Analytics","2.97","14/06/2022","F"
"Lina","Ben Mabrouk","76890136","21","7","Business Analytics","2.96","15/06/2022","M"
"Khaled","Ben Hmida","87901247","22","6","Finance","2.95","03/06/2022","F"
"Abeer","Ben Dhia","89012349","24","3","Accounting","2.94","19/06/2022","M"
